#RPLIDAR SCAN DATA
#COUNT=944
#Angule	Distance	Quality
23.1042 1772.0 188
23.4174 1776.0 188
23.7469 1782.0 188
24.0601 1788.0 188
24.3732 1792.0 188
24.7028 1794.0 188
25.0104 1804.0 188
25.3235 1808.0 188
25.6366 1812.0 188
25.9662 1818.0 188
26.2793 1822.0 188
26.5924 1824.0 188
26.9055 1828.0 188
27.2296 1836.0 188
27.5427 1844.0 188
27.8558 1854.0 188
28.1689 1858.0 188
28.4985 1860.0 188
28.8116 1868.0 188
29.1248 1874.0 188
29.4324 1880.0 188
29.7620 1888.0 188
30.0146 1894.0 188
30.3387 1898.0 188
30.6519 1904.0 188
30.9650 1914.0 188
31.2781 1920.0 188
31.6077 1928.0 188
31.9208 1936.0 188
32.2339 1942.0 188
32.5580 1952.0 188
32.8711 1962.0 188
33.1842 1968.0 188
33.4973 1974.0 188
33.8104 1984.0 188
34.1235 1988.0 188
34.4531 1996.0 188
34.7607 2004.0 188
35.0739 2008.0 188
35.3870 2016.0 188
35.7001 2030.0 188
36.0297 2038.0 188
36.3428 2042.0 188
36.5900 2050.0 188
36.9196 2064.0 188
37.2327 2076.0 188
37.5458 2080.0 188
37.8589 2088.0 188
38.1665 2100.0 188
38.4796 2108.0 188
38.8092 2124.0 188
39.1223 2136.0 188
39.4354 2148.0 188
39.7485 2156.0 188
40.0616 2160.0 188
40.3857 2172.0 188
40.6989 2188.0 188
41.0120 2204.0 188
41.3251 2212.0 188
41.6382 2224.0 188
41.9678 2232.0 188
42.2150 2244.0 188
42.5281 2252.0 188
42.8577 2264.0 188
43.1708 2284.0 188
43.4839 2296.0 188
43.7915 2308.0 188
44.1046 2320.0 188
44.4177 2336.0 188
44.7473 2348.0 188
45.0604 2360.0 188
45.3735 2376.0 188
45.6866 2392.0 188
45.9998 2412.0 188
46.3239 2428.0 188
46.6370 2436.0 188
46.9501 2448.0 188
47.2137 2464.0 188
47.5269 2480.0 188
47.8400 2496.0 188
48.1531 2520.0 188
48.4662 2536.0 188
48.7958 2544.0 188
49.1089 2560.0 188
49.4165 2584.0 188
49.7296 2604.0 188
50.0427 2624.0 188
50.3558 2640.0 188
50.6854 2656.0 188
50.9985 2672.0 188
51.3116 2688.0 188
51.6248 2708.0 188
52.2620 2724.0 188
60.6061 3540.0 188
60.9192 3576.0 188
61.2323 3620.0 188
61.5454 3672.0 188
61.8750 3720.0 188
62.1826 3748.0 188
62.4957 3780.0 188
62.8088 3808.0 188
63.1219 3864.0 188
63.4351 3940.0 188
63.7482 3996.0 188
64.0778 4028.0 188
64.3854 4052.0 188
64.6381 4112.0 188
64.9512 4176.0 188
65.2643 4224.0 188
65.5884 4216.0 188
65.9015 4184.0 188
66.2146 4176.0 188
66.5277 4176.0 188
66.8408 4168.0 188
67.1539 4168.0 188
67.4670 4168.0 188
67.7802 4160.0 188
68.0933 4160.0 188
68.4174 4152.0 188
68.7305 4136.0 188
69.0436 4136.0 188
69.3567 4136.0 188
69.6698 4120.0 188
69.9829 4112.0 188
70.2960 4112.0 188
70.6091 4104.0 188
70.9332 4104.0 188
71.2958 4088.0 188
71.6089 4092.0 188
71.9165 4084.0 188
72.2461 4076.0 188
72.5592 4072.0 188
72.8723 4064.0 188
73.1854 4056.0 188
73.4985 4048.0 188
73.8116 4044.0 188
74.1248 4040.0 188
74.4324 4056.0 188
74.7455 4068.0 188
75.0751 4064.0 188
75.3882 4064.0 188
75.7013 4060.0 188
76.0144 4060.0 188
76.3275 4060.0 188
76.6406 4052.0 188
76.9482 4040.0 188
77.2614 4032.0 188
77.5909 4024.0 188
77.9041 4016.0 188
78.2172 4012.0 188
78.5303 4008.0 188
78.8434 4004.0 188
79.1510 4000.0 188
79.4641 4000.0 188
79.7772 4000.0 188
80.0903 3992.0 188
80.4199 3988.0 188
80.7330 3984.0 188
81.0461 3984.0 188
81.3593 3988.0 188
81.6669 3984.0 188
81.9800 3984.0 188
82.2931 3980.0 188
82.6062 3976.0 188
82.9193 3976.0 188
83.2489 3976.0 188
83.5620 3976.0 188
83.8696 3972.0 188
84.1827 3972.0 188
84.4958 3972.0 188
84.8090 3968.0 188
85.1221 3968.0 188
85.4352 3968.0 188
85.7483 3964.0 188
86.0779 3964.0 188
86.3855 3964.0 188
86.6986 3968.0 188
87.0117 3968.0 188
87.3248 3964.0 188
87.6379 3964.0 188
87.9510 3964.0 188
88.2642 3964.0 188
88.5938 3964.0 188
88.9014 3968.0 188
89.2145 3968.0 188
89.5276 3968.0 188
89.8407 3968.0 188
90.1538 3968.0 188
90.4669 3964.0 188
90.7800 3968.0 188
91.0931 3972.0 188
91.4172 3976.0 188
91.7303 3976.0 188
92.0435 3972.0 188
92.3566 3972.0 188
92.6697 3976.0 188
92.9828 3984.0 188
93.2959 3980.0 188
93.6090 3976.0 188
94.5593 3976.0 188
100.4974 432.0 188
100.8270 433.0 188
101.1401 432.0 188
101.4972 431.0 188
102.1399 429.0 188
103.6560 439.0 188
103.9636 434.0 188
104.2767 435.0 188
104.9030 437.0 188
110.2917 3688.0 188
110.6049 3628.0 188
110.9180 3572.0 188
111.2476 3540.0 188
111.6046 3504.0 188
111.9177 3468.0 188
112.2473 3412.0 188
112.5604 3356.0 188
112.8735 3332.0 188
113.1866 3300.0 188
113.4998 3268.0 188
113.8074 3216.0 188
114.1205 3164.0 188
114.4501 3140.0 188
114.7632 3124.0 188
